"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.649210458E0,-1.295736060E-3,-7.109689713E-2,-5.264096335E-2
1.659140458E0,-3.051423701E-3,-7.131437212E-2,-6.077187136E-2
1.669070458E0,-5.222432315E-3,-6.691003591E-2,-5.735689774E-2
1.679000458E0,-8.522290736E-3,-4.786819965E-2,-5.039911345E-2
1.688931458E0,-7.067938335E-3,-2.642176114E-2,-5.317279696E-2
1.698861458E0,-5.112012848E-3,-1.905448548E-2,-6.008969247E-2
1.708791458E0,-1.923143864E-3,-2.460238338E-2,-6.303301454E-2
1.718722458E0,1.951389248E-3,-2.727024443E-2,-6.489762664E-2
1.728652458E0,8.637521416E-3,-1.983682998E-2,-6.271117181E-2
1.738582458E0,1.744005084E-2,-1.304922439E-2,-5.730116367E-2
1.748512458E0,1.991812326E-2,-8.592690341E-3,-4.931008071E-2
1.758443458E0,1.912183873E-2,-1.559015596E-3,-4.265271127E-2
1.768373458E0,1.687492803E-2,-1.087103388E-3,-3.985532746E-2
1.778303458E0,1.191650517E-2,-3.777262755E-3,-3.644614667E-2
1.788233458E0,3.287863452E-3,1.642003655E-3,-4.256609082E-2
1.798164458E0,-1.305126119E-2,8.044602349E-3,-5.676806718E-2
1.808094458E0,-2.714044973E-2,9.984714910E-3,-5.929593742E-2
1.818024458E0,-3.430737928E-2,5.455519073E-3,-5.709818006E-2
1.827954458E0,-2.746438794E-2,1.882089069E-3,-3.597052395E-2
1.837885458E0,-1.310762204E-2,-4.511496052E-3,-1.531849056E-2
1.847815458E0,-4.089891911E-3,-1.184823830E-2,-7.937273011E-3
1.857745458E0,3.620653879E-4,-1.906591654E-2,-1.553454623E-2
1.867675458E0,1.486185705E-3,-2.599253319E-2,-3.095291741E-2
1.877606458E0,-4.119168501E-3,-2.771940641E-2,-4.056613147E-2
1.887536458E0,-1.192143187E-2,-2.651805431E-2,-3.674422950E-2
1.897466458E0,-1.585423946E-2,-2.719514444E-2,-2.954496443E-2
1.907396458E0,-2.039839141E-2,-2.508059330E-2,-2.517285198E-2
1.917327458E0,-1.554759219E-2,-8.203443140E-3,-2.500660159E-2
1.927257458E0,-5.021980964E-3,2.294204896E-3,-2.079907246E-2
1.937187458E0,8.741139434E-3,2.414035378E-3,-1.877203584E-2
1.947117458E0,2.693585679E-2,-1.477375627E-3,-4.916140810E-3
1.957048458E0,4.359429330E-2,-7.704100572E-3,5.484994967E-3
1.966978458E0,4.546036571E-2,-4.993801471E-3,3.230629023E-3
1.976908458E0,3.674750403E-2,3.018664196E-3,2.860986162E-3
1.986838458E0,2.144125104E-2,8.022477850E-3,3.289754968E-3
1.996769458E0,8.783945814E-3,8.901095949E-3,-2.016965300E-5
2.006699458E0,-7.255207747E-3,1.828539418E-3,1.441106666E-3
2.016629458E0,-9.692717344E-3,-1.747587929E-3,-2.760616131E-3
2.026559458E0,-1.094919629E-2,-5.656309426E-3,-7.226737216E-3
2.036490458E0,-4.784756806E-3,-1.361008734E-3,-1.674390025E-2
2.046420458E0,4.379180260E-3,-6.404938176E-5,-2.962987125E-2
2.056350458E0,1.550794486E-2,7.618763950E-3,-3.777546436E-2
2.066280458E0,1.639078185E-2,1.600585692E-2,-3.867614642E-2
2.076211458E0,1.770330593E-2,1.629630663E-2,-3.110577352E-2
2.086141458E0,1.704550348E-2,1.116732508E-2,-3.206478059E-2
2.096071458E0,1.353602298E-2,1.460355241E-3,-3.620132804E-2
2.106001458E0,1.385853160E-2,-9.626117535E-3,-3.807832301E-2
2.115932458E0,1.879242063E-2,-8.669395931E-3,-3.218202665E-2
2.125863208E0,2.144625969E-2,3.094585612E-3,-1.849817298E-2
2.135793208E0,2.951637283E-2,1.707945578E-2,-7.882542908E-3
2.145723208E0,2.734829113E-2,2.955716476E-2,-1.416147687E-2
2.155654208E0,2.444481663E-2,3.642709553E-2,-2.536394447E-2
2.165584208E0,1.788278669E-2,4.099255428E-2,-3.760090470E-2
2.175514208E0,1.612393372E-2,3.683577105E-2,-4.655191302E-2
2.185444208E0,7.453479804E-3,1.375841536E-2,-4.923770949E-2
2.195375208E0,8.997069672E-4,-4.971862771E-3,-6.073510647E-2
2.205305208E0,-6.952889264E-3,-1.417521574E-2,-7.544561476E-2
2.215235208E0,-2.963590203E-3,-1.588486508E-2,-8.767731488E-2
2.225165208E0,-1.450914657E-3,-1.406725682E-2,-8.085029572E-2
2.235096208E0,6.307723001E-3,-1.503965072E-2,-6.371758878E-2
2.245026208E0,8.637189865E-3,-1.603487320E-2,-3.815950081E-2
2.254956208E0,1.205560565E-2,-1.292983536E-2,-2.315144613E-2
2.264886208E0,5.226728041E-3,1.960874069E-4,-2.483536303E-2
2.274817208E0,8.458015509E-5,6.374987308E-3,-3.347739205E-2
2.284747208E0,-2.228375059E-3,1.182594523E-2,-4.320618510E-2
