"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.363095833E0,3.707789612E-1,1.584155731E0,9.735005951E0
2.373027833E0,4.311035156E-1,1.574575653E0,9.715396729E0
2.382958833E0,4.763095093E-1,1.574575653E0,9.686207428E0
2.392890833E0,4.472698975E-1,1.618733826E0,9.694440308E0
2.402821833E0,3.716770935E-1,1.677860870E0,9.680070190E0
2.412752833E0,3.164419556E-1,1.695673828E0,9.649683380E0
2.422684833E0,3.448828125E-1,1.649719391E0,9.582622833E0
2.432615833E0,3.698808289E-1,1.569635925E0,9.499545593E0
2.442547833E0,3.589535522E-1,1.549128571E0,9.459578705E0
2.452478833E0,3.291654968E-1,1.588047638E0,9.448202362E0
2.462410833E0,3.091072083E-1,1.641785889E0,9.437724152E0
2.472341833E0,3.399430847E-1,1.678908691E0,9.438322906E0
2.482273833E0,3.989204407E-1,1.696422272E0,9.458381195E0
2.492204833E0,4.471202087E-1,1.707798615E0,9.474697266E0
2.502135833E0,4.749623108E-1,1.701062622E0,9.503138123E0
2.512067833E0,4.593946838E-1,1.676513672E0,9.557175751E0
2.521998833E0,3.957769775E-1,1.640139313E0,9.635163574E0
2.531930833E0,3.403921509E-1,1.593286743E0,9.687854004E0
2.541861833E0,3.074606323E-1,1.542542267E0,9.705517273E0
2.551793833E0,3.240760803E-1,1.484762421E0,9.694739685E0
2.561724833E0,3.354524231E-1,1.487007751E0,9.659263458E0
2.571655833E0,3.442840576E-1,1.531465302E0,9.627978516E0
2.581587833E0,3.388952637E-1,1.580413513E0,9.570797424E0
2.591518833E0,3.317102051E-1,1.636546783E0,9.506580963E0
2.601450833E0,3.359014893E-1,1.678459625E0,9.452693024E0
2.611381833E0,3.243754578E-1,1.702260132E0,9.405840454E0
2.621313833E0,3.173400879E-1,1.699715424E0,9.380093994E0
2.631244833E0,3.094065857E-1,1.657952271E0,9.379046173E0
2.641175833E0,3.074606323E-1,1.627565460E0,9.406439209E0
2.651107833E0,2.809657288E-1,1.634600830E0,9.470206604E0
2.661038833E0,2.592608643E-1,1.661095734E0,9.547445984E0
2.670970833E0,2.510279846E-1,1.670526123E0,9.574240265E0
2.680901833E0,2.703378296E-1,1.681004333E0,9.589209137E0
2.690833833E0,2.965333557E-1,1.710043945E0,9.611961823E0
2.700764833E0,3.207829285E-1,1.751657410E0,9.620194702E0
2.710695833E0,3.614982605E-1,1.769320679E0,9.626331940E0
2.720627833E0,3.552113342E-1,1.761087799E0,9.626631317E0
2.730558833E0,3.323089600E-1,1.737436981E0,9.651180267E0
2.740490833E0,2.980302429E-1,1.700613556E0,9.675280151E0
2.750421833E0,3.010240173E-1,1.629810791E0,9.684411163E0
2.760353833E0,3.367996216E-1,1.572480011E0,9.733658752E0
2.770284833E0,3.513194275E-1,1.552571411E0,9.816286926E0
2.780215833E0,3.384461975E-1,1.589394836E0,9.908195801E0
2.790147833E0,3.339555359E-1,1.597927094E0,9.972112885E0
2.800078833E0,3.903881836E-1,1.584006042E0,9.966574402E0
2.810010833E0,4.321513367E-1,1.528471527E0,9.894274750E0
2.819941833E0,4.345463562E-1,1.519490204E0,9.761500854E0
2.829873833E0,3.450325012E-1,1.546883240E0,9.633966064E0
2.839804833E0,2.493814087E-1,1.592987366E0,9.541159058E0
2.849735833E0,2.534230042E-1,1.637145538E0,9.490414581E0
2.859667833E0,2.619552612E-1,1.640289001E0,9.532626801E0
2.869598833E0,2.380050659E-1,1.617536316E0,9.593699799E0
2.879530833E0,1.772314453E-1,1.625469818E0,9.696086884E0
2.889461833E0,1.008901978E-1,1.623074799E0,9.798773346E0
2.899394042E0,1.820214844E-1,1.596579895E0,9.854607239E0
2.909325042E0,2.450404358E-1,1.547332306E0,9.878407745E0
2.919257042E0,2.960842896E-1,1.548080750E0,9.876461792E0
2.929188042E0,2.656974792E-1,1.554217987E0,9.826166382E0
2.939119042E0,2.685415649E-1,1.614093475E0,9.733509064E0
2.949051042E0,2.841091919E-1,1.655856628E0,9.654623108E0
2.958982042E0,2.582130432E-1,1.700463867E0,9.616003418E0
2.968914042E0,1.980381775E-1,1.734742584E0,9.582772522E0
2.978845042E0,1.634600830E-1,1.753303986E0,9.554481354E0
2.988777042E0,1.637594604E-1,1.733096008E0,9.533075867E0
2.998708042E0,2.219883728E-1,1.710792389E0,9.538165283E0
3.008639042E0,2.883004761E-1,1.679058380E0,9.542805634E0
3.018571042E0,3.251239014E-1,1.661095734E0,9.507928162E0
3.028502042E0,3.098556519E-1,1.692829742E0,9.496551819E0
3.038434042E0,2.640509033E-1,1.738484802E0,9.505682831E0
3.048365042E0,2.745291138E-1,1.775906982E0,9.555678864E0
3.058297042E0,3.068618774E-1,1.784439240E0,9.574389954E0
3.068228042E0,3.164419556E-1,1.774410095E0,9.559570770E0
3.078159042E0,2.685415649E-1,1.767374725E0,9.566306763E0
3.088091042E0,2.167492676E-1,1.733395386E0,9.626631317E0
3.098022042E0,2.088157654E-1,1.662442932E0,9.665101318E0
3.107954042E0,2.182461548E-1,1.612297211E0,9.670789490E0
3.117885042E0,2.082170105E-1,1.615889740E0,9.641151123E0
3.127817042E0,1.579216003E-1,1.675615540E0,9.631271667E0
3.137748042E0,1.724414062E-1,1.740131378E0,9.605225830E0
3.147679042E0,2.133064270E-1,1.743125153E0,9.558373260E0
3.157611042E0,2.453398132E-1,1.703307953E0,9.538165283E0
3.167542042E0,2.314187622E-1,1.668131104E0,9.527687073E0
3.177474042E0,1.776805115E-1,1.670825500E0,9.557175751E0
3.187405042E0,1.098715210E-1,1.676064606E0,9.595496063E0
3.197337042E0,6.197113037E-2,1.653162231E0,9.631720734E0
3.207268042E0,9.160949707E-2,1.617536316E0,9.645043030E0
3.217199042E0,1.609153748E-1,1.567240906E0,9.605974274E0
3.227131042E0,2.209405518E-1,1.560205536E0,9.579030304E0
3.237062042E0,2.624043274E-1,1.595831451E0,9.564959564E0
3.246994042E0,2.945874023E-1,1.643282776E0,9.538764038E0
3.256925042E0,3.016227722E-1,1.674118652E0,9.523196411E0
3.266857042E0,2.764750671E-1,1.699865112E0,9.530531158E0
3.276788042E0,2.631527710E-1,1.715432739E0,9.551487579E0
3.286720042E0,2.719844055E-1,1.705702972E0,9.599986725E0
3.296651042E0,3.317102051E-1,1.669478302E0,9.620793457E0
3.306582042E0,3.607498169E-1,1.663041687E0,9.591454468E0
3.316514042E0,3.101550293E-1,1.670077057E0,9.575288086E0
3.326445042E0,2.634521484E-1,1.682201843E0,9.574839020E0
3.336377042E0,2.532733154E-1,1.684896240E0,9.552685089E0
3.346308042E0,2.612068176E-1,1.694176941E0,9.555229797E0
3.356240042E0,2.883004761E-1,1.735640717E0,9.621691589E0
3.366171042E0,3.146456909E-1,1.774859161E0,9.708810425E0
3.376102042E0,3.296145630E-1,1.772464142E0,9.780361633E0
3.386034042E0,3.164419556E-1,1.703457642E0,9.801617432E0
3.395965042E0,2.866539001E-1,1.642085266E0,9.789492645E0
3.405897042E0,2.761756897E-1,1.603465576E0,9.754315796E0
3.415828042E0,2.435435486E-1,1.598376160E0,9.730515289E0
3.425760042E0,2.439926147E-1,1.637594604E0,9.754764862E0
3.435691042E0,2.579136658E-1,1.671873322E0,9.761800232E0
3.445622042E0,2.790197754E-1,1.689237213E0,9.753866730E0
3.455554042E0,2.948867798E-1,1.682052155E0,9.720037079E0
3.465485042E0,2.815644836E-1,1.680555267E0,9.680818634E0
3.475417042E0,2.345622253E-1,1.700463867E0,9.653126221E0
3.485348042E0,2.411485291E-1,1.715582428E0,9.618099060E0
3.495280042E0,2.529739380E-1,1.702709198E0,9.552236023E0
3.505211042E0,2.312690735E-1,1.673519897E0,9.501491547E0
3.515142042E0,2.161505127E-1,1.665137329E0,9.494306488E0
3.525074042E0,2.183958435E-1,1.670077057E0,9.514065399E0
3.535005042E0,2.195933533E-1,1.675166473E0,9.549242249E0
3.544937042E0,2.234852600E-1,1.681752777E0,9.593550110E0
3.554868042E0,2.109114075E-1,1.680854645E0,9.624835052E0
3.564800042E0,2.124082947E-1,1.686692505E0,9.657018127E0
3.574731042E0,2.146536255E-1,1.689835968E0,9.669442291E0
3.584662042E0,1.832189941E-1,1.675765228E0,9.689650269E0
3.594594042E0,1.579216003E-1,1.666484528E0,9.709708557E0
3.604525042E0,1.622625732E-1,1.649420013E0,9.721384277E0
3.614457042E0,1.884580994E-1,1.660347290E0,9.729018402E0
3.624388042E0,2.242337036E-1,1.679657135E0,9.705816650E0
3.634320042E0,2.326162720E-1,1.682950287E0,9.682614899E0
3.644251042E0,2.179467773E-1,1.675166473E0,9.649384003E0
3.654182042E0,1.872605896E-1,1.677711182E0,9.576934662E0
3.664114042E0,1.579216003E-1,1.674418030E0,9.537416840E0
3.674045042E0,1.487905884E-1,1.671124878E0,9.527387695E0
3.683977042E0,1.507365417E-1,1.672322388E0,9.527088318E0
3.693908042E0,1.612147522E-1,1.670077057E0,9.551786957E0
3.703840042E0,1.621128845E-1,1.694925385E0,9.609566803E0
3.713771042E0,1.694476318E-1,1.703457642E0,9.663754120E0
3.723702042E0,1.754351807E-1,1.682800598E0,9.699080658E0
3.733634042E0,1.919009399E-1,1.648970947E0,9.684560852E0
3.743565042E0,1.731898499E-1,1.606159973E0,9.662406921E0
3.753497042E0,1.586700439E-1,1.596430206E0,9.627529449E0
3.763428042E0,1.549278259E-1,1.613644409E0,9.600735168E0
3.773360042E0,1.520837402E-1,1.633553009E0,9.580826569E0
3.783291042E0,1.381626892E-1,1.617686005E0,9.549092560E0
3.793222042E0,1.347198486E-1,1.609453125E0,9.517208862E0
3.803154042E0,1.086740112E-1,1.610950012E0,9.466165009E0
3.813085042E0,8.607101440E-2,1.610650635E0,9.438771973E0
3.823017042E0,8.637039185E-2,1.611997833E0,9.431137848E0
3.832948042E0,1.059796143E-1,1.642684021E0,9.491761780E0
3.842880042E0,1.408570862E-1,1.664837952E0,9.584718475E0
3.852811042E0,1.688488770E-1,1.665885773E0,9.682315521E0
3.862742042E0,2.161505127E-1,1.652713165E0,9.750274200E0
3.872674042E0,2.342628479E-1,1.632954254E0,9.781559143E0
3.882605042E0,2.383044434E-1,1.626817017E0,9.771979065E0
3.892537292E0,2.380050659E-1,1.616787872E0,9.734706573E0
3.902468292E0,2.398013306E-1,1.611099701E0,9.700727234E0
3.912400292E0,2.254312134E-1,1.618883514E0,9.658814392E0
3.922331292E0,1.942959595E-1,1.653162231E0,9.623038788E0
3.932262292E0,1.803749084E-1,1.689985657E0,9.615554352E0
3.942194292E0,2.056723022E-1,1.709594879E0,9.635462952E0
3.952125292E0,2.432441711E-1,1.722468109E0,9.651030579E0
3.962057292E0,2.791694641E-1,1.721420288E0,9.707313538E0
3.971988292E0,3.194357300E-1,1.725012817E0,9.758357391E0
3.981920292E0,3.269201660E-1,1.716929626E0,9.771679688E0
3.991851292E0,3.004252625E-1,1.701661377E0,9.713750153E0
4.001782292E0,2.465373230E-1,1.673968964E0,9.648785248E0
4.011714292E0,1.652563477E-1,1.651964722E0,9.584568787E0
4.021645292E0,1.053808594E-1,1.629361725E0,9.554481354E0
4.031577292E0,9.280700684E-2,1.618733826E0,9.566456451E0
4.041508292E0,1.233435059E-1,1.614991608E0,9.575587463E0
4.051440292E0,1.377136230E-1,1.620530090E0,9.609566803E0
4.061371292E0,1.170565796E-1,1.627565460E0,9.646390228E0
4.071303292E0,1.026864624E-1,1.627565460E0,9.665101318E0
4.081234292E0,1.016386414E-1,1.622326355E0,9.675729218E0
4.091165292E0,1.344204712E-1,1.603166199E0,9.645791473E0
4.101097292E0,1.706451416E-1,1.618434448E0,9.643097076E0
4.111028292E0,1.974394226E-1,1.633702698E0,9.635013885E0
