"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.296042250E0,-8.882528687E-1,3.352428589E0,9.127120056E0
3.305973250E0,-9.264234924E-1,3.341950378E0,9.112300873E0
3.315905250E0,-9.593550110E-1,3.331172791E0,9.156758423E0
3.325836250E0,-9.768685913E-1,3.296894073E0,9.198671265E0
3.335767250E0,-9.720785522E-1,3.264112244E0,9.212592316E0
3.345699250E0,-9.647438049E-1,3.255729675E0,9.167386322E0
3.355630250E0,-9.831555176E-1,3.253035278E0,9.072932739E0
3.365561250E0,-1.000070343E0,3.287613373E0,9.000333710E0
3.375493250E0,-1.007854156E0,3.328927460E0,8.997789001E0
3.385424250E0,-9.770182800E-1,3.340453491E0,9.050030365E0
3.395355250E0,-9.400451660E-1,3.316054230E0,9.098080444E0
3.405287250E0,-9.315129089E-1,3.272345123E0,9.104067993E0
3.415218250E0,-9.568103027E-1,3.283272400E0,9.085955658E0
3.425149250E0,-9.936337280E-1,3.286415863E0,9.136849823E0
3.435081250E0,-1.019978943E0,3.270698547E0,9.192683716E0
3.445012250E0,-1.037193146E0,3.264710999E0,9.246122589E0
3.454944250E0,-1.033750305E0,3.275039520E0,9.263486481E0
3.464875250E0,-1.035546570E0,3.282074890E0,9.247170410E0
3.474806250E0,-1.035696259E0,3.246598663E0,9.180708618E0
3.484738250E0,-1.044827271E0,3.246299286E0,9.153914337E0
3.494668292E0,-1.033001862E0,3.296145630E0,9.137298889E0
3.504599292E0,-1.007704468E0,3.338507538E0,9.143735504E0
3.514531292E0,-9.804611206E-1,3.352727966E0,9.120533752E0
3.524462292E0,-9.627978516E-1,3.363355865E0,9.115893402E0
3.534393292E0,-9.551637268E-1,3.356919250E0,9.115144958E0
3.544325292E0,-9.545649719E-1,3.343596954E0,9.140292664E0
3.554256292E0,-9.271719360E-1,3.369343414E0,9.178912354E0
3.564187292E0,-9.098080444E-1,3.385060730E0,9.220226440E0
3.574119292E0,-8.867559814E-1,3.394790497E0,9.231752472E0
3.584050292E0,-8.604107666E-1,3.369343414E0,9.180409241E0
3.593981292E0,-8.741821289E-1,3.348087616E0,9.103469238E0
3.603913292E0,-9.294172668E-1,3.349285126E0,9.004824371E0
3.613844292E0,-9.859996033E-1,3.385060730E0,8.945248260E0
3.623775292E0,-9.975256348E-1,3.405268707E0,8.960516510E0
3.633707292E0,-9.602531433E-1,3.395688629E0,9.049281921E0
3.643638292E0,-9.496252441E-1,3.389701080E0,9.177864532E0
3.653569292E0,-9.732760620E-1,3.387904816E0,9.258846130E0
3.663501292E0,-9.862989807E-1,3.354673920E0,9.280550995E0
3.673432292E0,-9.786648560E-1,3.331172791E0,9.251810760E0
3.683364292E0,-9.883946228E-1,3.318299561E0,9.237740021E0
3.693295292E0,-9.859996033E-1,3.306773529E0,9.257349243E0
3.703226292E0,-9.782157898E-1,3.307671661E0,9.277557220E0
3.713158292E0,-9.842033386E-1,3.305725708E0,9.277856598E0
3.723089292E0,-9.934840393E-1,3.295397186E0,9.268725586E0
3.733020292E0,-9.806108093E-1,3.286715240E0,9.205856323E0
3.742952292E0,-9.647438049E-1,3.279380493E0,9.129664764E0
3.752883292E0,-9.538165283E-1,3.276985474E0,9.046737213E0
3.762814292E0,-9.439370728E-1,3.307521973E0,9.004674683E0
3.772746292E0,-9.250762939E-1,3.328478394E0,9.025930481E0
3.782677292E0,-8.876541138E-1,3.335064697E0,9.067543945E0
3.792608292E0,-8.686436462E-1,3.345393219E0,9.090895386E0
3.802540292E0,-8.785231018E-1,3.364104309E0,9.126371613E0
3.812471292E0,-8.828640747E-1,3.354075165E0,9.107510834E0
3.822402292E0,-9.352551270E-1,3.325484619E0,9.084458771E0
3.832334292E0,-1.000669098E0,3.320694580E0,9.095236359E0
3.842265292E0,-1.015637970E0,3.338657227E0,9.125922546E0
3.852196292E0,-9.963281250E-1,3.346890106E0,9.185648346E0
3.862128292E0,-9.762698364E-1,3.333418121E0,9.214987335E0
3.872059292E0,-9.481283569E-1,3.336860962E0,9.215137024E0
3.881991292E0,-9.207353210E-1,3.346740417E0,9.213789825E0
3.891922292E0,-8.948391724E-1,3.361409912E0,9.156908112E0
3.901853292E0,-8.812174988E-1,3.368594971E0,9.090895386E0
3.911785292E0,-8.927435303E-1,3.376229095E0,9.048234100E0
3.921716292E0,-9.183403015E-1,3.385210419E0,9.018895111E0
3.931647292E0,-9.357041931E-1,3.378175049E0,9.022936707E0
3.941579292E0,-9.327104187E-1,3.346141663E0,9.019793243E0
3.951510292E0,-9.372010803E-1,3.339555359E0,9.032067719E0
3.961441292E0,-9.383985901E-1,3.352428589E0,9.081165619E0
3.971373292E0,-9.394464111E-1,3.366349640E0,9.134754181E0
3.981304292E0,-9.202862549E-1,3.352877655E0,9.215137024E0
3.991235292E0,-8.952882385E-1,3.344944153E0,9.275311890E0
4.001167292E0,-8.918453979E-1,3.352578278E0,9.279054108E0
4.011098292E0,-9.131011963E-1,3.370241547E0,9.254954224E0
4.021029292E0,-9.491761780E-1,3.385958862E0,9.249565430E0
4.030961292E0,-9.663903809E-1,3.370241547E0,9.228309631E0
4.040892292E0,-9.214837646E-1,3.324287109E0,9.191037140E0
